Date,EUR=,SEK=,GBp=,DKK=,NOK=,CHF=,PLN=,USD=
2015-01-01,1.2104,7.793,1.55455,6.15325,7.4535,0.99395,3.54155,1
2015-01-02,1.20025,7.9222,1.53275,6.2018,7.5933,1.0013,3.5851,1
2015-01-05,1.19335,7.9404,1.52495,6.2363,7.6384,1.00705,3.59625,1
2015-01-06,1.1889,7.91605,1.51515,6.25895,7.7468,1.0101,3.63175,1
2015-01-07,1.18395,7.9764,1.51105,6.2847,7.7049,1.01435,3.6283,1
2015-01-08,1.17925,8.0302,1.50885,6.3085,7.6222,1.01855,3.6316,1
2015-01-09,1.18415,8.0512,1.51605,6.28605,7.6612,1.0142,3.6053,1
2015-01-12,1.1834,8.0747,1.5171,6.28695,7.7455,1.01485,3.61225,1
2015-01-13,1.17725,8.0699,1.5159,6.3183,7.7586,1.02015,3.638,1
2015-01-14,1.17895,8.08415,1.52325,6.30925,7.6214,1.01865,3.61195,1
2015-01-15,1.16305,8.1032,1.51835,6.3899,7.5786,0.85825,3.7099,1
2015-01-16,1.15695,8.1193,1.51505,6.4233,7.5525,0.8575,3.7175,1
2015-01-19,1.16055,8.1345,1.51115,6.40415,7.6233,0.8796,3.73205,1
2015-01-20,1.15505,8.1645,1.5145,6.4367,7.6722,0.8758,3.75365,1
2015-01-21,1.16105,8.1732,1.5143,6.4043,7.5885,0.8601,3.704,1
2015-01-22,1.13665,8.2302,1.501,6.5494,7.6525,0.8713,3.74465,1
2015-01-23,1.1208,8.3374,1.49895,6.643,7.7711,0.8808,3.7495,1
2015-01-26,1.12385,8.302,1.50805,6.6292,7.8059,0.903,3.75035,1
2015-01-27,1.13815,8.177,1.5197,6.53925,7.728,0.903,3.7273,1
2015-01-28,1.1288,8.298,1.51355,6.5966,7.8328,0.9054,3.7626,1
2015-01-29,1.132,8.277,1.5067,6.574,7.829,0.9238,3.7222,1
2015-01-30,1.12885,8.2746,1.50685,6.5849,7.7274,0.9211,3.7041,1
2015-02-02,1.1342,8.31675,1.504,6.5634,7.6492,0.9285,3.6924,1
2015-02-03,1.1481,8.2145,1.51665,6.4859,7.5186,0.9245,3.6362,1
2015-02-04,1.13465,8.2859,1.51825,6.5624,7.6022,0.92615,3.6758,1
2015-02-05,1.1477,8.2461,1.53275,6.4856,7.5162,0.92115,3.6335,1
2015-02-06,1.13155,8.3945,1.52455,6.5738,7.6286,0.9254,3.6767,1
2015-02-09,1.13245,8.3611,1.5215,6.573,7.616,0.92365,3.6947,1
2015-02-10,1.13205,8.3262,1.5254,6.5747,7.5813,0.9264,3.7107,1
2015-02-11,1.13335,8.3787,1.5238,6.5655,7.6466,0.9285,3.7145,1
