Date,RIC,Currency,Daily Total Return,Price Close,TRBC Economic Sector Name,Volume
2011-07-27,POWI.OQ,USD,-6.092436975,17.88,,218906
2011-07-27,VHI.N,USD,-5.897703549,216.35978364,,4350
2011-07-28,POWI.OQ,USD,-0.307606264,17.825,,102722
2011-07-28,VHI.N,USD,-0.073950823,216.1997838,,4308
2011-07-29,POWI.OQ,USD,-0.448807854,17.745,,102418
2011-07-29,VHI.N,USD,0.314523589,216.87978312,,2705
2011-08-01,POWI.OQ,USD,-0.422654269,17.67,,150864
2011-08-01,VHI.N,USD,2.914053855,223.1997768,,2524
2011-08-02,POWI.OQ,USD,-5.857385399,16.635,,302698
2011-08-02,VHI.N,USD,-4.068100358,214.11978588,,3640
2011-08-03,POWI.OQ,USD,-0.721370604,16.515,,703156
2011-08-03,VHI.N,USD,-8.014197646,196.95980304,,2800
2011-08-04,POWI.OQ,USD,-6.993642144,15.36,,255132
2011-08-04,VHI.N,USD,-8.996750609,179.23982076,,3333
2011-08-05,POWI.OQ,USD,0.1953125,15.39,,342686
2011-08-05,VHI.N,USD,-7.766123633,165.31983468,,3182
2011-08-08,POWI.OQ,USD,-5.295646524,14.575,,543648
2011-08-08,VHI.N,USD,-13.210742802,143.47985652,,6033
2011-08-09,POWI.OQ,USD,7.993138937,15.74,,459418
2011-08-09,VHI.N,USD,16.281014776,166.83983316,,3718
2011-08-10,POWI.OQ,USD,-2.573062262,15.335,,380240
2011-08-10,VHI.N,USD,4.603212659,174.51982548,,4506
2011-08-11,POWI.OQ,USD,7.694815781,16.515,,435986
2011-08-11,VHI.N,USD,17.969287188,205.87979412,,4351
2011-08-12,POWI.OQ,USD,-2.845897669,16.045,,394734
2011-08-12,VHI.N,USD,3.205750923,212.47978752,,4223
2011-08-15,POWI.OQ,USD,1.651604861,16.31,,233520
2011-08-15,VHI.N,USD,1.731927711,216.15978384,,3148
2011-08-16,POWI.OQ,USD,-3.402820356,15.755,,159808
2011-08-16,VHI.N,USD,-6.421169504,202.27979772,,3580
2011-08-17,POWI.OQ,USD,-0.126943827,15.735,,112414
2011-08-17,VHI.N,USD,-0.830531936,200.5997994,,616
2011-08-18,POWI.OQ,USD,-6.228153797,14.755,,238372
2011-08-18,VHI.N,USD,-3.549351944,193.47980652,,7709
2011-08-19,POWI.OQ,USD,-0.135547272,14.735,,252416
2011-08-19,VHI.N,USD,-2.005375233,189.5998104,,4275
2011-08-22,POWI.OQ,USD,1.628775025,14.975,,136986
2011-08-22,VHI.N,USD,1.455696203,192.35980764,,2556
2011-08-23,POWI.OQ,USD,7.011686144,16.025,,276668
2011-08-23,VHI.N,USD,6.487835309,204.83979516,,1073
2011-08-24,POWI.OQ,USD,-0.96723869,15.87,,149344
2011-08-24,VHI.N,USD,5.58484671,216.27978372,,3403
2011-08-25,POWI.OQ,USD,-3.119092628,15.375,,124074
2011-08-25,VHI.N,USD,1.738487146,220.03977996,,2989
2011-08-26,POWI.OQ,USD,1.951219512,15.675,,109642
2011-08-26,VHI.N,USD,7.016906017,235.47976452,,2312
2011-08-29,POWI.OQ,USD,4.816586922,16.405,,130710
2011-08-29,VHI.N,USD,0.934261933,237.67976232,,3773
2011-08-30,POWI.OQ,USD,-0.701005791,16.29,,131822
2011-08-30,VHI.N,USD,0.959272972,239.95976004,,3215
2011-08-31,POWI.OQ,USD,-1.350521793,16.07,,179892
2011-08-31,VHI.N,USD,-1.266877813,236.91976308,,2725
2011-09-01,POWI.OQ,USD,-4.16925949,15.4,,213880
2011-09-01,VHI.N,USD,1.333783556,240.07975992,,1599
2011-09-02,POWI.OQ,USD,-3.116883117,14.92,,292982
2011-09-02,VHI.N,USD,-1.63278907,236.15976384,,1825
2011-09-06,POWI.OQ,USD,0.201072386,14.95,,253834
2011-09-06,VHI.N,USD,-0.626693767,234.67976532,,4503
2011-09-07,POWI.OQ,USD,5.050167224,15.705,,223920
2011-09-07,VHI.N,USD,2.786773351,240.71975928,,1255
2011-09-08,POWI.OQ,USD,1.878382681,16.0,,426810
2011-09-08,VHI.N,USD,-3.539381854,232.1997678,,1880
2011-09-09,POWI.OQ,USD,-0.84375,15.865,,250070
2011-09-09,VHI.N,USD,-3.531438415,223.999776,,2370
2011-09-12,POWI.OQ,USD,3.592814371,16.435,,268368
2011-09-12,VHI.N,USD,-3.75,215.5997844,,2412
2011-09-13,POWI.OQ,USD,2.12960146,16.785,,153898
2011-09-13,VHI.N,USD,4.582560297,225.47977452,,2167
2011-09-14,POWI.OQ,USD,3.6341972,17.395,,375868
2011-09-14,VHI.N,USD,-1.844952989,221.31977868,,6370
2011-09-15,POWI.OQ,USD,0.373670595,17.46,,180058
2011-09-15,VHI.N,USD,-0.795228628,219.55978044,,1854
2011-09-16,POWI.OQ,USD,2.033218786,17.815,,389406
2011-09-16,VHI.N,USD,-1.530333394,216.1997838,,3904
2011-09-19,POWI.OQ,USD,-5.921975863,16.76,,372750
2011-09-19,VHI.N,USD,-0.333024977,215.47978452,,1430
2011-09-20,POWI.OQ,USD,-3.192124105,16.225,,190350
2011-09-20,VHI.N,USD,-0.092816039,215.27978472,,1577
2011-09-21,POWI.OQ,USD,-1.972265023,15.905,,165312
2011-09-21,VHI.N,USD,-1.969528056,211.03978896,,1302
2011-09-22,POWI.OQ,USD,-2.860735618,15.45,,223692
2011-09-22,VHI.N,USD,-3.241091736,204.1997958,,3604
2011-09-23,POWI.OQ,USD,2.330097087,15.81,,179770
2011-09-23,VHI.N,USD,-5.230166503,193.51980648,,1097
2011-09-26,POWI.OQ,USD,1.170145478,15.995,,150598
2011-09-26,VHI.N,USD,4.381976023,201.999798,,1733
2011-09-27,POWI.OQ,USD,2.500781494,16.395,,171686
2011-09-27,VHI.N,USD,2.97029703,207.999792,,1432
2011-09-28,POWI.OQ,USD,-3.903629155,15.755,,171660
2011-09-28,VHI.N,USD,0.846153846,209.75979024,,1397
2011-09-29,POWI.OQ,USD,0.031735957,15.76,,171914
2011-09-29,VHI.N,USD,-0.038138825,209.67979032,,2167
2011-09-30,POWI.OQ,USD,-2.887055838,15.305,,235774
2011-09-30,VHI.N,USD,3.33842045,216.67978332,,1759
2011-10-03,POWI.OQ,USD,-4.214309049,14.66,,263360
2011-10-03,VHI.N,USD,-4.559719402,206.7997932,,3201
2011-10-04,POWI.OQ,USD,9.890859482,16.11,,308274
2011-10-04,VHI.N,USD,7.001934236,221.27977872,,3973
2011-10-05,POWI.OQ,USD,0.77591558,16.235,,318738
2011-10-05,VHI.N,USD,0.542299349,222.47977752,,3523
2011-10-06,POWI.OQ,USD,-1.293501694,16.025,,343348
2011-10-06,VHI.N,USD,7.497303128,239.15976084,,975
2011-10-07,POWI.OQ,USD,-0.842433697,15.89,,153948
2011-10-07,VHI.N,USD,-1.856497742,234.71976528,,1049
2011-10-10,POWI.OQ,USD,3.429830082,16.435,,181652
2011-10-10,VHI.N,USD,2.044989775,239.51976048,,733
2011-10-11,POWI.OQ,USD,-0.334651658,16.38,,175254
2011-10-11,VHI.N,USD,1.603206413,243.35975664,,1740
2011-10-12,POWI.OQ,USD,1.862026862,16.685,,212406
2011-10-12,VHI.N,USD,0.197238659,243.83975616,,603
2011-10-13,POWI.OQ,USD,2.816901408,17.155,,103826
2011-10-13,VHI.N,USD,-0.065616798,243.67975632,,1961
2011-10-14,POWI.OQ,USD,1.4864471,17.41,,98818
2011-10-14,VHI.N,USD,1.543007223,247.43975256,,970
2011-10-17,POWI.OQ,USD,-4.164273406,16.685,,125142
2011-10-17,VHI.N,USD,-3.249272551,239.3997606,,2073
2011-10-18,POWI.OQ,USD,2.547198082,17.11,,180554
2011-10-18,VHI.N,USD,-0.384294069,238.47976152,,1498
2011-10-19,POWI.OQ,USD,-3.915838691,16.44,,147100
2011-10-19,VHI.N,USD,-2.71720899,231.999768,,877
2011-10-20,POWI.OQ,USD,-0.364963504,16.38,,113980
2011-10-20,VHI.N,USD,0.344827586,232.7997672,,935
2011-10-21,POWI.OQ,USD,1.953601954,16.7,,156274
2011-10-21,VHI.N,USD,2.027491409,237.51976248,,1912
2011-10-24,POWI.OQ,USD,4.221556886,17.405,,161410
2011-10-24,VHI.N,USD,2.947120243,244.51975548,,2103
2011-10-25,POWI.OQ,USD,-1.896006895,17.075,,123364
2011-10-25,VHI.N,USD,-1.815802388,240.07975992,,844
2011-10-26,POWI.OQ,USD,1.669106881,17.36,,170324
2011-10-26,VHI.N,USD,-0.383205598,239.15976084,,2185
2011-10-27,POWI.OQ,USD,5.702764977,18.35,,260278
2011-10-27,VHI.N,USD,-1.923398562,234.55976544,,2450
2011-10-28,POWI.OQ,USD,-1.198910082,18.13,,99444
2011-10-28,VHI.N,USD,1.841746248,238.87976112,,1665
2011-10-31,POWI.OQ,USD,-1.737451737,17.815,,143178
2011-10-31,VHI.N,USD,-1.054922974,236.35976364,,2224
2011-11-01,POWI.OQ,USD,-2.834689868,17.31,,206920
2011-11-01,VHI.N,USD,-2.572347267,230.27976972,,1980
2011-11-02,POWI.OQ,USD,1.675332178,17.6,,188980
2011-11-02,VHI.N,USD,1.997568178,234.87976512,,753
2011-11-03,POWI.OQ,USD,4.176136364,18.335,,175438
2011-11-03,VHI.N,USD,2.72479564,241.27975872,,875
2011-11-04,POWI.OQ,USD,-0.081810744,18.32,,460130
2011-11-04,VHI.N,USD,-0.198938992,240.7997592,,1287
2011-11-07,POWI.OQ,USD,-1.555676856,18.035,,146076
2011-11-07,VHI.N,USD,0.23255814,241.35975864,,1058
2011-11-08,POWI.OQ,USD,1.13667868,18.24,,205424
2011-11-08,VHI.N,USD,-2.585349685,235.11976488,,2051
2011-11-09,POWI.OQ,USD,-4.057017544,17.5,,173850
2011-11-09,VHI.N,USD,-2.262674379,229.7997702,,1199
2011-11-10,POWI.OQ,USD,1.2,17.71,,181862
2011-11-10,VHI.N,USD,-0.400348129,228.87977112,,1519
2011-11-11,POWI.OQ,USD,3.162055336,18.27,,139310
2011-11-11,VHI.N,USD,1.572876617,232.47976752,,953
2011-11-14,POWI.OQ,USD,-0.793650794,18.125,,87318
2011-11-14,VHI.N,USD,-0.15485203,232.11976788,,1628
2011-11-15,POWI.OQ,USD,0.965517241,18.3,,217958
2011-11-15,VHI.N,USD,-0.654833707,230.5997694,,2440
2011-11-16,POWI.OQ,USD,-1.530054645,18.02,,143592
2011-11-16,VHI.N,USD,0.676496097,232.15976784,,828
2011-11-17,POWI.OQ,USD,-2.025527192,17.655,,274708
2011-11-17,VHI.N,USD,-3.911095796,223.07977692,,1250
2011-11-18,POWI.OQ,USD,-1.047861796,17.47,,227880
2011-11-18,VHI.N,USD,0.394477318,223.95977604,,775
2011-11-21,POWI.OQ,USD,-3.14825415,16.92,,128864
2011-11-21,VHI.N,USD,-3.554206108,215.999784,,1009
2011-11-22,POWI.OQ,USD,-1.891252955,16.6,,198754
2011-11-22,VHI.N,USD,0.351851852,216.75978324,,1146
2011-11-23,POWI.OQ,USD,-2.018072289,16.265,,185154
2011-11-23,VHI.N,USD,-1.144122532,214.27978572,,1375
2011-11-25,POWI.OQ,USD,-1.045189056,16.095,,102114
2011-11-25,VHI.N,USD,-1.064028374,211.999788,,592
2011-11-28,POWI.OQ,USD,4.597701149,16.81,,141038
2011-11-28,VHI.N,USD,15.245283019,244.31975568,,4870
2011-11-29,POWI.OQ,USD,-1.606186794,16.54,,119406
2011-11-29,VHI.N,USD,0.343811395,245.15975484,,15139
2011-11-30,POWI.OQ,USD,6.257557437,17.575,,319364
2011-11-30,VHI.N,USD,1.974220917,249.99975,,4274
2011-12-01,POWI.OQ,USD,1.593172119,17.855,,158454
2011-12-01,VHI.N,USD,-2.288,244.27975572,,812
2011-12-02,POWI.OQ,USD,-0.336040325,17.795,,102766
2011-12-02,VHI.N,USD,0.687735386,245.95975404,,2134
2011-12-05,POWI.OQ,USD,0.561955606,17.895,,154210
2011-12-05,VHI.N,USD,3.171247357,253.75974624,,1460
2011-12-06,POWI.OQ,USD,1.173512154,18.105,,128246
2011-12-06,VHI.N,USD,-1.450189155,250.07974992,,1042
2011-12-07,POWI.OQ,USD,0.745650373,18.24,,99186
2011-12-07,VHI.N,USD,-1.127639275,246.75975324,,525
2011-12-08,POWI.OQ,USD,-2.521929825,17.78,,108680
2011-12-08,VHI.N,USD,-2.253201491,241.1997588,,644
2011-12-09,POWI.OQ,USD,-0.731158605,17.65,,189388
2011-12-09,VHI.N,USD,-0.132669983,240.87975912,,588
2011-12-12,POWI.OQ,USD,-1.529745042,17.38,,152822
2011-12-12,VHI.N,USD,-5.181002989,228.3997716,,1726
2011-12-13,POWI.OQ,USD,-2.617951669,16.925,,121504
2011-12-13,VHI.N,USD,-1.1558669,225.75977424,,2526
2011-12-14,POWI.OQ,USD,-3.013293944,16.415,,222838
2011-12-14,VHI.N,USD,-4.004252303,216.71978328,,2415
2011-12-15,POWI.OQ,USD,-0.182759671,16.385,,144138
2011-12-15,VHI.N,USD,-2.122554448,212.11978788,,1911
2011-12-16,POWI.OQ,USD,-0.091547147,16.37,,283272
2011-12-16,VHI.N,USD,8.91947954,231.03976896,,7889
2011-12-19,POWI.OQ,USD,-2.351863164,15.985,,101914
2011-12-19,VHI.N,USD,-2.008310249,226.3997736,,1687
2011-12-20,POWI.OQ,USD,5.786675008,16.91,,186886
2011-12-20,VHI.N,USD,5.777385159,239.47976052,,1111
2011-12-21,POWI.OQ,USD,-1.478415139,16.66,,126220
2011-12-21,VHI.N,USD,-3.039919826,232.1997678,,1104
2011-12-22,POWI.OQ,USD,1.770708283,16.955,,111298
2011-12-22,VHI.N,USD,0.44788975,233.23976676,,332
2011-12-23,POWI.OQ,USD,-0.412857564,16.885,,71080
2011-12-23,VHI.N,USD,0.017149717,233.27976672,,584
2011-12-27,POWI.OQ,USD,0.266508736,16.93,,56136
2011-12-27,VHI.N,USD,1.680384088,237.1997628,,525
2011-12-28,POWI.OQ,USD,-2.39220319,16.525,,121012
2011-12-28,VHI.N,USD,-1.770657673,232.999767,,887
2011-12-29,POWI.OQ,USD,0.726172466,16.645,,62244
2011-12-29,VHI.N,USD,2.300429185,238.35976164,,1160
2011-12-30,POWI.OQ,USD,-0.39050766,16.58,,97066
2011-12-30,VHI.N,USD,1.476757845,241.87975812,,4148
2012-01-03,POWI.OQ,USD,0.693606755,16.695,,218162
2012-01-03,VHI.N,USD,2.546717381,248.03975196,,2342
2012-01-04,POWI.OQ,USD,-1.437556155,16.455,,163028
2012-01-04,VHI.N,USD,-1.822286728,243.51975648,,578
2012-01-05,POWI.OQ,USD,1.336979641,16.675,,79486
2012-01-05,VHI.N,USD,-0.295663601,242.7997572,,2563
2012-01-06,POWI.OQ,USD,0.509745127,16.76,,240630
2012-01-06,VHI.N,USD,-1.532125206,239.07976092,,1072
2012-01-09,POWI.OQ,USD,0.80548926,16.895,,205888
2012-01-09,VHI.N,USD,0.736155262,240.83975916,,575
2012-01-10,POWI.OQ,USD,0.088783664,16.91,,101208
2012-01-10,VHI.N,USD,0.04982561,240.95975904,,560
2012-01-11,POWI.OQ,USD,1.123595506,17.1,,153870
2012-01-11,VHI.N,USD,-1.112217795,238.27976172,,412
2012-01-12,POWI.OQ,USD,-0.116959064,17.08,,138406
2012-01-12,VHI.N,USD,0.386100386,239.1997608,,3207
2012-01-13,POWI.OQ,USD,-2.956674473,16.575,,100108
2012-01-13,VHI.N,USD,-0.033444816,239.11976088,,3384
2012-01-17,POWI.OQ,USD,-1.266968326,16.365,,366394
2012-01-17,VHI.N,USD,-0.485112078,237.95976204,,1820
2012-01-18,POWI.OQ,USD,8.829819737,17.81,,404042
2012-01-18,VHI.N,USD,1.630526139,241.83975816,,1126
2012-01-19,POWI.OQ,USD,0.084222347,17.825,,161664
2012-01-19,VHI.N,USD,-1.505127357,238.1997618,,1030
2012-01-20,POWI.OQ,USD,3.842917251,18.51,,183136
2012-01-20,VHI.N,USD,-1.225860621,235.27976472,,700
2012-01-23,POWI.OQ,USD,0.675310643,18.635,,200350
2012-01-23,VHI.N,USD,-1.394083645,231.999768,,650
2012-01-24,POWI.OQ,USD,0.241481084,18.68,,188028
2012-01-24,VHI.N,USD,-5.172413793,219.99978,,2121
2012-01-25,POWI.OQ,USD,-1.766595289,18.35,,167720
2012-01-25,VHI.N,USD,0.927272727,222.03977796,,697
2012-01-26,POWI.OQ,USD,-0.980926431,18.17,,102078
2012-01-26,VHI.N,USD,-0.432354531,221.07977892,,1106
2012-01-27,POWI.OQ,USD,0.110071547,18.19,,201616
2012-01-27,VHI.N,USD,2.659670707,226.95977304,,683
2012-01-30,POWI.OQ,USD,-0.879604178,18.03,,67900
2012-01-30,VHI.N,USD,-4.106450476,217.63978236,,618
2012-01-31,POWI.OQ,USD,-0.19412091,17.995,,119160
2012-01-31,VHI.N,USD,-1.084359493,215.27978472,,1650
2012-02-01,POWI.OQ,USD,2.195054182,18.39,,187642
2012-02-01,VHI.N,USD,2.619843924,220.91977908,,1057
2012-02-02,POWI.OQ,USD,0.761283306,18.53,,164466
2012-02-02,VHI.N,USD,-1.539018649,217.51978248,,870
2012-02-03,POWI.OQ,USD,6.50296816,19.735,,349056
2012-02-03,VHI.N,USD,0.0,217.51978248,,1118
2012-02-06,POWI.OQ,USD,-2.178870028,19.305,,136404
2012-02-06,VHI.N,USD,0.643618978,218.91978108,,1150
2012-02-07,POWI.OQ,USD,-1.994301994,18.92,,147366
2012-02-07,VHI.N,USD,-0.529873927,217.75978224,,487
2012-02-08,POWI.OQ,USD,1.955602537,19.29,,96490
2012-02-08,VHI.N,USD,2.351212344,222.87977712,,1075
2012-02-09,POWI.OQ,USD,-0.259201659,19.24,,73104
2012-02-09,VHI.N,USD,2.08183776,227.51977248,,975
2012-02-10,POWI.OQ,USD,-1.897089397,18.875,,104298
2012-02-10,VHI.N,USD,0.386779184,228.3997716,,2981
2012-02-13,POWI.OQ,USD,0.238410596,18.92,,56750
2012-02-13,VHI.N,USD,0.175131349,228.7997712,,454
2012-02-14,POWI.OQ,USD,-0.422832981,18.84,,84656
2012-02-14,VHI.N,USD,-3.059440559,221.7997782,,2741
2012-02-15,POWI.OQ,USD,1.592356688,19.14,,183272
2012-02-15,VHI.N,USD,-2.164111812,216.999783,,1413
2012-02-16,POWI.OQ,USD,2.194357367,19.56,,151280
2012-02-16,VHI.N,USD,5.622119816,229.1997708,,1230
2012-02-17,POWI.OQ,USD,-0.383435583,19.485,,80972
2012-02-17,VHI.N,USD,-0.942408377,227.03977296,,4025
2012-02-21,POWI.OQ,USD,-2.335129587,19.03,,81650
2012-02-21,VHI.N,USD,1.920366455,231.3997686,,3648
2012-02-22,POWI.OQ,USD,-0.289017341,18.975,,55860
2012-02-22,VHI.N,USD,0.29386344,232.07976792,,844
2012-02-23,POWI.OQ,USD,2.108036891,19.375,,178462
2012-02-23,VHI.N,USD,-0.637711134,230.5997694,,2282
2012-02-24,POWI.OQ,USD,0.025806452,19.38,,85300
2012-02-24,VHI.N,USD,2.168256722,235.5997644,,1310
