Currency,Daily Total Return,Price Close,TRBC Economic Sector Name,Volume
USD,-6.092436975,17.88,,218906
USD,-5.897703549,216.35978364,,4350
USD,-0.307606264,17.825,,102722
USD,-0.073950823,216.1997838,,4308
USD,-0.448807854,17.745,,102418
USD,0.314523589,216.87978312,,2705
USD,-0.422654269,17.67,,150864
USD,2.914053855,223.1997768,,2524
USD,-5.857385399,16.635,,302698
USD,-4.068100358,214.11978588,,3640
USD,-0.721370604,16.515,,703156
USD,-8.014197646,196.95980304,,2800
USD,-6.993642144,15.36,,255132
USD,-8.996750609,179.23982076,,3333
USD,0.1953125,15.39,,342686
USD,-7.766123633,165.31983468,,3182
USD,-5.295646524,14.575,,543648
USD,-13.210742802,143.47985652,,6033
USD,7.993138937,15.74,,459418
USD,16.281014776,166.83983316,,3718
USD,-2.573062262,15.335,,380240
USD,4.603212659,174.51982548,,4506
USD,7.694815781,16.515,,435986
USD,17.969287188,205.87979412,,4351
USD,-2.845897669,16.045,,394734
USD,3.205750923,212.47978752,,4223
USD,1.651604861,16.31,,233520
USD,1.731927711,216.15978384,,3148
USD,-3.402820356,15.755,,159808
USD,-6.421169504,202.27979772,,3580
USD,-0.126943827,15.735,,112414
USD,-0.830531936,200.5997994,,616
USD,-6.228153797,14.755,,238372
USD,-3.549351944,193.47980652,,7709
USD,-0.135547272,14.735,,252416
USD,-2.005375233,189.5998104,,4275
USD,1.628775025,14.975,,136986
USD,1.455696203,192.35980764,,2556
USD,7.011686144,16.025,,276668
USD,6.487835309,204.83979516,,1073
USD,-0.96723869,15.87,,149344
USD,5.58484671,216.27978372,,3403
USD,-3.119092628,15.375,,124074
USD,1.738487146,220.03977996,,2989
USD,1.951219512,15.675,,109642
USD,7.016906017,235.47976452,,2312
USD,4.816586922,16.405,,130710
USD,0.934261933,237.67976232,,3773
USD,-0.701005791,16.29,,131822
USD,0.959272972,239.95976004,,3215
USD,-1.350521793,16.07,,179892
USD,-1.266877813,236.91976308,,2725
USD,-4.16925949,15.4,,213880
USD,1.333783556,240.07975992,,1599
USD,-3.116883117,14.92,,292982
USD,-1.63278907,236.15976384,,1825
USD,0.201072386,14.95,,253834
USD,-0.626693767,234.67976532,,4503
USD,5.050167224,15.705,,223920
USD,2.786773351,240.71975928,,1255
USD,1.878382681,16.0,,426810
USD,-3.539381854,232.1997678,,1880
USD,-0.84375,15.865,,250070
USD,-3.531438415,223.999776,,2370
USD,3.592814371,16.435,,268368
USD,-3.75,215.5997844,,2412
USD,2.12960146,16.785,,153898
USD,4.582560297,225.47977452,,2167
USD,3.6341972,17.395,,375868
USD,-1.844952989,221.31977868,,6370
USD,0.373670595,17.46,,180058
USD,-0.795228628,219.55978044,,1854
USD,2.033218786,17.815,,389406
USD,-1.530333394,216.1997838,,3904
USD,-5.921975863,16.76,,372750
USD,-0.333024977,215.47978452,,1430
USD,-3.192124105,16.225,,190350
USD,-0.092816039,215.27978472,,1577
USD,-1.972265023,15.905,,165312
USD,-1.969528056,211.03978896,,1302
USD,-2.860735618,15.45,,223692
USD,-3.241091736,204.1997958,,3604
USD,2.330097087,15.81,,179770
USD,-5.230166503,193.51980648,,1097
USD,1.170145478,15.995,,150598
USD,4.381976023,201.999798,,1733
USD,2.500781494,16.395,,171686
USD,2.97029703,207.999792,,1432
USD,-3.903629155,15.755,,171660
USD,0.846153846,209.75979024,,1397
USD,0.031735957,15.76,,171914
USD,-0.038138825,209.67979032,,2167
USD,-2.887055838,15.305,,235774
USD,3.33842045,216.67978332,,1759
USD,-4.214309049,14.66,,263360
USD,-4.559719402,206.7997932,,3201
USD,9.890859482,16.11,,308274
USD,7.001934236,221.27977872,,3973
USD,0.77591558,16.235,,318738
USD,0.542299349,222.47977752,,3523
USD,-1.293501694,16.025,,343348
USD,7.497303128,239.15976084,,975
USD,-0.842433697,15.89,,153948
USD,-1.856497742,234.71976528,,1049
USD,3.429830082,16.435,,181652
USD,2.044989775,239.51976048,,733
USD,-0.334651658,16.38,,175254
USD,1.603206413,243.35975664,,1740
USD,1.862026862,16.685,,212406
USD,0.197238659,243.83975616,,603
USD,2.816901408,17.155,,103826
USD,-0.065616798,243.67975632,,1961
USD,1.4864471,17.41,,98818
USD,1.543007223,247.43975256,,970
USD,-4.164273406,16.685,,125142
USD,-3.249272551,239.3997606,,2073
USD,2.547198082,17.11,,180554
USD,-0.384294069,238.47976152,,1498
USD,-3.915838691,16.44,,147100
USD,-2.71720899,231.999768,,877
USD,-0.364963504,16.38,,113980
USD,0.344827586,232.7997672,,935
USD,1.953601954,16.7,,156274
USD,2.027491409,237.51976248,,1912
USD,4.221556886,17.405,,161410
USD,2.947120243,244.51975548,,2103
USD,-1.896006895,17.075,,123364
USD,-1.815802388,240.07975992,,844
USD,1.669106881,17.36,,170324
USD,-0.383205598,239.15976084,,2185
USD,5.702764977,18.35,,260278
USD,-1.923398562,234.55976544,,2450
USD,-1.198910082,18.13,,99444
USD,1.841746248,238.87976112,,1665
USD,-1.737451737,17.815,,143178
USD,-1.054922974,236.35976364,,2224
USD,-2.834689868,17.31,,206920
USD,-2.572347267,230.27976972,,1980
USD,1.675332178,17.6,,188980
USD,1.997568178,234.87976512,,753
USD,4.176136364,18.335,,175438
USD,2.72479564,241.27975872,,875
USD,-0.081810744,18.32,,460130
USD,-0.198938992,240.7997592,,1287
USD,-1.555676856,18.035,,146076
USD,0.23255814,241.35975864,,1058
USD,1.13667868,18.24,,205424
USD,-2.585349685,235.11976488,,2051
USD,-4.057017544,17.5,,173850
USD,-2.262674379,229.7997702,,1199
USD,1.2,17.71,,181862
USD,-0.400348129,228.87977112,,1519
USD,3.162055336,18.27,,139310
USD,1.572876617,232.47976752,,953
USD,-0.793650794,18.125,,87318
USD,-0.15485203,232.11976788,,1628
USD,0.965517241,18.3,,217958
USD,-0.654833707,230.5997694,,2440
USD,-1.530054645,18.02,,143592
USD,0.676496097,232.15976784,,828
USD,-2.025527192,17.655,,274708
USD,-3.911095796,223.07977692,,1250
USD,-1.047861796,17.47,,227880
USD,0.394477318,223.95977604,,775
USD,-3.14825415,16.92,,128864
USD,-3.554206108,215.999784,,1009
USD,-1.891252955,16.6,,198754
USD,0.351851852,216.75978324,,1146
USD,-2.018072289,16.265,,185154
USD,-1.144122532,214.27978572,,1375
USD,-1.045189056,16.095,,102114
USD,-1.064028374,211.999788,,592
USD,4.597701149,16.81,,141038
